Index,River,Erected,Purpose,Length,Lanes,Clear,T-OR-D,Material,Span,Rel-L,Label
E1,M,CRAFTS,HIGHWAY,?,2,N,THROUGH,WOOD,SHORT,S,WOOD
E2,A,CRAFTS,AQUEDUCT,?,1,N,DECK,WOOD,?,S,WOOD
E3,O,MODERN,HIGHWAY,?,?,G,?,?,?,F,ARCH
E4,O,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,S-F,CANTILEV
E5,O,MODERN,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,CONT-T
E6,O,MODERN,HIGHWAY,LONG,2,G,THROUGH,STEEL,LONG,F,CANTILEV
E7,A,MODERN,HIGHWAY,MEDIUM,2,N,DECK,STEEL,MEDIUM,S-F,CONT-T
E8,A,MATURE,RR,?,?,G,?,STEEL,?,F,NIL
E9,A,MODERN,RR,SHORT,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E10,A,MODERN,HIGHWAY,MEDIUM,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
E11,A,MODERN,HIGHWAY,?,?,G,?,?,?,F,ARCH
E12,A,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,CRAFTS,RR,?,2,N,DECK,WOOD,?,S,WOOD
E14,A,CRAFTS,HIGHWAY,?,2,N,THROUGH,WOOD,?,S,WOOD
E15,M,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E16,A,CRAFTS,RR,?,2,N,THROUGH,WOOD,?,S,WOOD
E17,A,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
E18,M,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,MEDIUM,?,SIMPLE-T
E19,A,CRAFTS,RR,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SIMPLE-T
E20,A,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E21,A,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
E22,A,EMERGING,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E23,M,EMERGING,RR,?,2,?,THROUGH,IRON,?,?,SIMPLE-T
E24,A,EMERGING,HIGHWAY,MEDIUM,4,G,THROUGH,WOOD,SHORT,S,WOOD
E25,M,EMERGING,HIGHWAY,MEDIUM,?,?,THROUGH,STEEL,LONG,F,SUSPEN
E26,O,EMERGING,RR,?,2,G,?,STEEL,?,?,SIMPLE-T
E27,M,EMERGING,RR,?,2,G,?,STEEL,?,?,SIMPLE-T
E28,M,EMERGING,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E29,A,EMERGING,RR,?,2,G,THROUGH,STEEL,?,F,SIMPLE-T
E30,M,EMERGING,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,ARCH
E31,A,EMERGING,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,?,SUSPEN
E32,A,CRAFTS,AQUEDUCT,?,1,N,THROUGH,WOOD,?,S,WOOD
E33,A,EMERGING,RR,?,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E34,M,EMERGING,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E35,A,EMERGING,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E36,M,EMERGING,HIGHWAY,MEDIUM,?,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E37,O,EMERGING,RR,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E38,A,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E39,O,MATURE,HIGHWAY,?,2,G,THROUGH,IRON,SHORT,F,SIMPLE-T
E40,M,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E41,M,MATURE,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E42,A,MATURE,HIGHWAY,?,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E43,A,MATURE,AQUEDUCT,MEDIUM,1,N,THROUGH,WOOD,SHORT,S,WOOD
E44,M,MATURE,HIGHWAY,?,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E45,M,MATURE,HIGHWAY,?,2,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E46,M,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E47,M,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,ARCH
E48,O,MATURE,HIGHWAY,?,2,G,THROUGH,STEEL,LONG,F,SUSPEN
E49,M,MATURE,RR,LONG,?,G,THROUGH,STEEL,?,F,SIMPLE-T
E50,A,MATURE,RR,LONG,2,G,DECK,STEEL,LONG,F,SIMPLE-T
E51,M,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E52,A,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E53,A,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
E54,A,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,WOOD,SHORT,S,WOOD
E55,M,MATURE,RR,MEDIUM,?,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E56,M,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E57,M,MATURE,RR,MEDIUM,?,G,THROUGH,STEEL,LONG,F,CANTILEV
E58,A,MATURE,RR,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E59,M,MATURE,HIGHWAY,MEDIUM,?,G,?,STEEL,MEDIUM,F,SIMPLE-T
E60,A,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E61,M,MATURE,HIGHWAY,?,?,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E62,O,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,LONG,F,CANTILEV
E63,A,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E64,O,MATURE,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,LONG,F,CANTILEV
E65,M,CRAFTS,HIGHWAY,?,2,N,THROUGH,WOOD,?,S,WOOD
E66,A,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E67,O,MATURE,RR,LONG,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E68,A,MATURE,RR,LONG,2,N,DECK,STEEL,LONG,F,CONT-T
E69,A,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E70,A,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,F,ARCH
