job_id,salary_bin
JOB-2019-0016087,0
JOB-2019-0008055,9
JOB-2019-0001658,4
JOB-2019-0016777,8
JOB-2019-0017600,6
JOB-2019-0000279,0
JOB-2019-0010945,2
JOB-2019-0010096,9
JOB-2019-0017154,0
JOB-2019-0008605,6
JOB-2019-0017818,9
JOB-2019-0000935,2
JOB-2019-0009871,9
JOB-2019-0001034,0
JOB-2019-0009923,4
JOB-2019-0007691,9
JOB-2019-0015973,0
JOB-2019-0001680,0
JOB-2019-0004826,9
JOB-2019-0000700,0
JOB-2019-0009597,3
JOB-2019-0011265,2
JOB-2019-0009480,9
JOB-2019-0005336,1
JOB-2019-0010770,2
JOB-2019-0019653,4
JOB-2019-0010359,0
JOB-2019-0016120,6
JOB-2019-0006273,6
JOB-2019-0006482,0
JOB-2019-0006834,8
JOB-2019-0001571,2
JOB-2019-0006279,0
JOB-2019-0006664,8
JOB-2019-0008918,2
JOB-2019-0000148,1
JOB-2019-0003757,2
JOB-2019-0012543,5
JOB-2019-0004623,9
JOB-2019-0000163,0
JOB-2019-0012748,0
JOB-2019-0012897,4
JOB-2019-0000394,6
JOB-2019-0015972,0
JOB-2019-0002665,2
JOB-2019-0003266,2
JOB-2019-0009162,6
JOB-2019-0017333,9
JOB-2019-0015881,0
JOB-2019-0009006,0
JOB-2019-0000780,6
JOB-2019-0012808,0
JOB-2019-0002926,0
JOB-2019-0013873,8
JOB-2019-0004502,6
JOB-2019-0002640,4
JOB-2019-0019065,6
JOB-2019-0013671,6
JOB-2019-0004793,9
JOB-2019-0019484,9
JOB-2019-0004476,3
JOB-2019-0013901,2
JOB-2019-0012392,3
JOB-2019-0002396,6
JOB-2019-0000718,1
JOB-2019-0008800,6
JOB-2019-0014111,9
JOB-2019-0013883,0
JOB-2019-0018162,1
JOB-2019-0015624,4
JOB-2019-0007179,7
JOB-2019-0010362,2
JOB-2019-0017478,1
JOB-2019-0008137,2
JOB-2019-0016202,3
JOB-2019-0009012,2
JOB-2019-0016884,4
JOB-2019-0008395,9
JOB-2019-0000962,9
JOB-2019-0007944,1
JOB-2019-0020005,9
JOB-2019-0011603,1
JOB-2019-0009203,1
JOB-2019-0013968,2
JOB-2019-0005248,0
JOB-2019-0008581,0
JOB-2019-0009899,0
JOB-2019-0009497,3
JOB-2019-0000998,8
JOB-2019-0013098,1
JOB-2019-0018520,2
JOB-2019-0001187,6
JOB-2019-0002030,2
JOB-2019-0005888,6
JOB-2019-0007072,9
JOB-2019-0013805,6
JOB-2019-0012830,0
JOB-2019-0000283,8
JOB-2019-0011067,9
JOB-2019-0001724,0
JOB-2019-0004746,0
